,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
15,14,1017.2,,20.2,,86,0.8,318,,,0.0,,,,
16,15,1016.5,,19.6,,91,2.2,330,,,0.0,,,,
17,16,1016.1,,19.2,,93,3.3,7,,,0.0,,,,
18,17,1015.7,,19.1,,94,3.1,360,,,0.0,,,,
19,18,1016.0,,18.7,,96,2.6,341,,,0.0,,,,
20,19,1017.2,,18.6,,96,1.5,332,,,0.0,,,,
21,20,1018.1,,18.6,,97,1.5,321,,,0.0,,,,
22,21,1018.6,,18.6,,97,1.4,343,,,0.0,,,,
23,22,1018.6,,18.4,,98,1.3,18,,,0.5,,,,
24,23,1018.2,,18.4,,98,1.7,4,,,0.0,,,,
25,24,1017.5,,18.3,,98,1.9,13,,,0.0,,,,
0,測站:C0K440_二崙,,觀測時間:2016-01-03,,,,,,,,,,,,
0,,Press,temperature,dew point,RH,WD/WS,Precp,SunShine,visibility,,,,,,
1,觀測時間  (LST)  ObsTime,測站氣壓  (hPa)  StnPres,海平面氣壓  (hPa)  SeaPres,氣溫  (℃)  Temperature,露點溫度  (℃)  Td dew point,相對溼度  (%)  RH,風速  (m/s)  WS,風向  (360degree)  WD,最大陣風  (m/s)  WSGust,最大陣風風向  (360degree)  WDGust,降水量  (mm)  Precp,降水時數  (hr)  PrecpHour,日照時數  (hr)  SunShine,全天空日射量  (MJ/㎡)  GloblRad,能見度  (km)  Visb
2,1,1016.7,,18.2,,99,2.1,349,,,1.0,,,,
3,2,1016.4,,18.0,,99,1.9,346,,,0.0,,,,
4,3,1015.9,,18.0,,99,1.3,32,,,0.0,,,,
5,4,1015.4,,18.0,,99,3.2,10,,,0.0,,,,
6,5,1015.3,,18.0,,99,3.8,9,,,0.0,,,,
7,6,1015.9,,17.9,,99,3.6,3,,,2.5,,,,
8,7,1016.6,,17.9,,99,1.9,28,,,1.5,,,,
9,8,1017.2,,18.0,,99,2.5,347,,,0.5,,,,
10,9,1017.5,,18.8,,98,3.3,4,,,0.0,,,,
11,10,1017.1,,19.2,,98,1.0,70,,,0.0,,,,
12,11,1017.1,,19.1,,99,1.5,360,,,2.5,,,,
13,12,1016.2,,19.0,,99,1.8,50,,,2.0,,,,
14,13,1014.8,,19.0,,99,1.0,75,,,2.5,,,,
15,14,1014.5,,19.5,,99,1.0,9,,,1.0,,,,
16,15,1013.8,,19.9,,99,2.5,9,,,0.5,,,,
17,16,1014.3,,19.8,,99,1.9,347,,,2.5,,,,
18,17,1015.0,,19.3,,99,2.7,341,,,4.0,,,,
19,18,1015.3,,19.0,,99,2.9,2,,,2.5,,,,
20,19,1015.5,,19.2,,99,3.0,3,,,0.0,,,,
21,20,1016.4,,19.0,,99,2.1,335,,,2.0,,,,
22,21,1016.4,,18.9,,99,2.1,9,,,1.0,,,,
23,22,1016.2,,19.0,,99,0.8,356,,,0.0,,,,
24,23,1015.6,,19.0,,99,2.4,1,,,0.5,,,,
25,24,1015.1,,19.0,,99,0.9,46,,,0.0,,,,
0,測站:C0K440_二崙,,觀測時間:2016-01-04,,,,,,,,,,,,
0,,Press,temperature,dew point,RH,WD/WS,Precp,SunShine,visibility,,,,,,
1,觀測時間  (LST)  ObsTime,測站氣壓  (hPa)  StnPres,海平面氣壓  (hPa)  SeaPres,氣溫  (℃)  Temperature,露點溫度  (℃)  Td dew point,相對溼度  (%)  RH,風速  (m/s)  WS,風向  (360degree)  WD,最大陣風  (m/s)  WSGust,最大陣風風向  (360degree)  WDGust,降水量  (mm)  Precp,降水時數  (hr)  PrecpHour,日照時數  (hr)  SunShine,全天空日射量  (MJ/㎡)  GloblRad,能見度  (km)  Visb
2,1,1015.1,,18.9,,99,1.2,327,,,0.0,,,,
3,2,1014.6,,19.1,,99,1.8,360,,,0.0,,,,
4,3,1014.3,,19.1,,99,2.0,338,,,0.0,,,,
5,4,1014.3,,18.9,,99,2.7,353,,,1.0,,,,
6,5,1014.2,,18.9,,99,2.6,14,,,0.0,,,,
7,6,1014.6,,19.0,,99,1.0,35,,,0.0,,,,
8,7,1015.2,,18.9,,99,1.3,335,,,0.0,,,,
9,8,1015.6,,19.3,,99,1.3,15,,,0.0,,,,
10,9,1016.7,,20.0,,99,2.6,337,,,0.5,,,,
11,10,1016.7,,20.3,,98,2.5,358,,,0.0,,,,
12,11,1016.2,,21.1,,96,0.8,32,,,0.0,,,,
13,12,1015.3,,22.3,,90,0.6,23,,,0.0,,,,
14,13,1014.7,,21.7,,94,3.0,324,,,0.0,,,,
15,14,1013.8,,22.2,,92,2.3,350,,,0.0,,,,
16,15,1013.6,,23.3,,89,1.4,339,,,0.0,,,,
17,16,1013.3,,23.5,,88,1.8,333,,,0.0,,,,
18,17,1013.6,,22.2,,91,2.8,318,,,0.0,,,,
19,18,1013.8,,21.3,,96,1.8,335,,,0.0,,,,
20,19,1014.0,,20.9,,96,1.5,348,,,0.0,,,,
21,20,1014.5,,20.7,,97,1.4,338,,,0.0,,,,
22,21,1014.6,,20.9,,96,0.0,0,,,0.0,,,,
23,22,1014.7,,20.6,,97,0.0,0,,,0.0,,,,
24,23,1014.6,,20.4,,99,0.8,11,,,0.0,,,,
25,24,1014.0,,20.2,,99,1.1,24,,,0.0,,,,
0,測站:C0K440_二崙,,觀測時間:2016-01-05,,,,,,,,,,,,
0,,Press,temperature,dew point,RH,WD/WS,Precp,SunShine,visibility,,,,,,
1,觀測時間  (LST)  ObsTime,測站氣壓  (hPa)  StnPres,海平面氣壓  (hPa)  SeaPres,氣溫  (℃)  Temperature,露點溫度  (℃)  Td dew point,相對溼度  (%)  RH,風速  (m/s)  WS,風向  (360degree)  WD,最大陣風  (m/s)  WSGust,最大陣風風向  (360degree)  WDGust,降水量  (mm)  Precp,降水時數  (hr)  PrecpHour,日照時數  (hr)  SunShine,全天空日射量  (MJ/㎡)  GloblRad,能見度  (km)  Visb
2,1,1013.9,,19.9,,99,1.0,17,,,0.0,,,,
3,2,1013.4,,19.7,,99,0.9,51,,,0.0,,,,
4,3,1013.3,,19.5,,99,1.0,352,,,0.0,,,,
5,4,1012.8,,18.8,,99,1.7,6,,,0.0,,,,
6,5,1012.7,,18.7,,99,1.2,33,,,0.0,,,,
7,6,1012.7,,18.4,,99,1.5,339,,,0.0,,,,
8,7,1012.6,,18.4,,99,0.6,38,,,0.0,,,,
9,8,1013.6,,18.4,,99,1.8,310,,,0.0,,,,
10,9,1013.9,,19.0,,99,0.8,309,,,0.0,,,,
11,10,1014.4,,19.8,,99,1.4,320,,,0.0,,,,
12,11,1014.1,,20.6,,99,2.4,324,,,0.0,,,,
13,12,1013.5,,21.7,,93,2.6,344,,,0.0,,,,
14,13,1012.5,,21.9,,92,2.3,346,,,0.0,,,,
15,14,1012.0,,22.7,,88,2.1,328,,,0.0,,,,
16,15,1011.6,,22.3,,90,3.2,343,,,0.0,,,,
17,16,1011.4,,22.6,,89,2.4,5,,,0.0,,,,
18,17,1011.6,,22.4,,89,2.3,353,,,0.0,,,,
19,18,1012.2,,21.2,,94,2.5,329,,,0.0,,,,
20,19,1012.9,,19.6,,99,2.7,348,,,0.0,,,,
21,20,1013.4,,19.6,,99,1.9,3,,,0.0,,,,
22,21,1013.6,,19.8,,99,1.2,14,,,0.0,,,,
23,22,1013.4,,20.1,,98,0.6,78,,,0.0,,,,
24,23,1013.3,,19.8,,99,1.4,1,,,0.0,,,,
25,24,1013.0,,19.7,,99,1.7,337,,,0.0,,,,
0,測站:C0K440_二崙,,觀測時間:2016-01-06,,,,,,,,,,,,
0,,Press,temperature,dew point,RH,WD/WS,Precp,SunShine,visibility,,,,,,
1,觀測時間  (LST)  ObsTime,測站氣壓  (hPa)  StnPres,海平面氣壓  (hPa)  SeaPres,氣溫  (℃)  Temperature,露點溫度  (℃)  Td dew point,相對溼度  (%)  RH,風速  (m/s)  WS,風向  (360degree)  WD,最大陣風  (m/s)  WSGust,最大陣風風向  (360degree)  WDGust,降水量  (mm)  Precp,降水時數  (hr)  PrecpHour,日照時數  (hr)  SunShine,全天空日射量  (MJ/㎡)  GloblRad,能見度  (km)  Visb
2,1,1012.2,,19.7,,99,0.5,29,,,0.0,,,,
3,2,1011.5,,19.8,,99,0.6,132,,,0.0,,,,
4,3,1011.3,,19.2,,99,1.5,301,,,0.0,,,,
5,4,1011.4,,18.9,,99,1.3,317,,,0.0,,,,
6,5,1011.8,,18.9,,98,1.7,326,,,0.0,,,,
7,6,1012.0,,19.1,,97,0.7,59,,,0.0,,,,
8,7,1013.3,,18.5,,98,6.1,356,,,0.0,,,,
9,8,1014.5,,17.9,,99,5.3,11,,,4.5,,,,
10,9,1015.6,,18.1,,99,6.2,12,,,0.5,,,,
11,10,1016.6,,17.9,,99,1.7,2,,,1.5,,,,
12,11,1016.0,,18.8,,99,2.3,350,,,1.0,,,,
13,12,1015.0,,20.0,,95,3.9,358,,,0.0,,,,
14,13,1013.9,,20.9,,90,4.6,3,,,0.0,,,,
15,14,1012.7,,22.6,,81,5.8,5,,,0.0,,,,
16,15,1012.2,,20.7,,90,8.2,350,,,0.5,,,,
17,16,1012.3,,20.4,,88,6.9,351,,,0.0,,,,
18,17,1012.7,,18.7,,92,8.4,2,,,0.0,,,,
19,18,1013.3,,18.0,,93,6.9,5,,,0.0,,,,
20,19,1014.1,,17.5,,93,6.6,1,,,0.0,,,,
21,20,1014.8,,17.4,,90,7.5,1,,,0.0,,,,
22,21,1015.0,,17.2,,88,8.5,6,,,0.0,,,,
23,22,1015.5,,17.2,,86,7.5,5,,,0.0,,,,
24,23,1015.8,,17.0,,87,7.4,6,,,0.0,,,,
25,24,1015.7,,17.1,,87,6.5,5,,,0.0,,,,
0,測站:C0K440_二崙,,觀測時間:2016-01-07,,,,,,,,,,,,
0,,Press,temperature,dew point,RH,WD/WS,Precp,SunShine,visibility,,,,,,
1,觀測時間  (LST)  ObsTime,測站氣壓  (hPa)  StnPres,海平面氣壓  (hPa)  SeaPres,氣溫  (℃)  Temperature,露點溫度  (℃)  Td dew point,相對溼度  (%)  RH,風速  (m/s)  WS,風向  (360degree)  WD,最大陣風  (m/s)  WSGust,最大陣風風向  (360degree)  WDGust,降水量  (mm)  Precp,降水時數  (hr)  PrecpHour,日照時數  (hr)  SunShine,全天空日射量  (MJ/㎡)  GloblRad,能見度  (km)  Visb
2,1,1015.7,,17.2,,86,5.9,6,,,0.0,,,,
3,2,1015.5,,17.1,,88,6.6,10,,,0.0,,,,
4,3,1015.3,,17.0,,88,4.9,2,,,0.0,,,,
5,4,1015.1,,16.8,,88,5.8,7,,,0.0,,,,
6,5,1015.7,,16.8,,86,5.4,4,,,0.0,,,,
7,6,1016.1,,16.9,,85,5.1,6,,,0.0,,,,
8,7,1016.5,,16.7,,86,4.3,16,,,0.0,,,,
9,8,1017.2,,17.0,,85,3.9,359,,,0.0,,,,
10,9,1017.6,,18.0,,81,4.7,8,,,0.0,,,,
11,10,1017.7,,19.1,,79,4.2,350,,,0.0,,,,
12,11,1017.0,,20.2,,74,3.8,355,,,0.0,,,,
13,12,1015.6,,20.9,,73,3.7,353,,,0.0,,,,
14,13,1014.8,,21.5,,72,4.1,340,,,0.0,,,,
15,14,1014.7,,20.7,,78,6.4,343,,,0.0,,,,
16,15,1015.1,,19.3,,80,7.3,349,,,0.0,,,,
17,16,1015.0,,18.4,,80,8.5,359,,,0.0,,,,
18,17,1015.6,,17.9,,81,6.7,360,,,0.0,,,,
19,18,1016.0,,17.6,,80,6.7,1,,,0.0,,,,
20,19,1015.9,,17.3,,81,6.4,9,,,0.0,,,,
21,20,1016.1,,17.1,,81,6.7,4,,,0.0,,,,
22,21,1016.1,,17.0,,83,5.6,4,,,0.0,,,,
23,22,1016.3,,16.9,,83,4.7,6,,,0.0,,,,
24,23,1016.3,,16.8,,85,1.5,5,,,0.0,,,,
25,24,1015.8,,16.9,,87,1.8,111,,,0.0,,,,
0,測站:C0K440_二崙,,觀測時間:2016-01-08,,,,,,,,,,,,
0,,Press,temperature,dew point,RH,WD/WS,Precp,SunShine,visibility,,,,,,
1,觀測時間  (LST)  ObsTime,測站氣壓  (hPa)  StnPres,海平面氣壓  (hPa)  SeaPres,氣溫  (℃)  Temperature,露點溫度  (℃)  Td dew point,相對溼度  (%)  RH,風速  (m/s)  WS,風向  (360degree)  WD,最大陣風  (m/s)  WSGust,最大陣風風向  (360degree)  WDGust,降水量  (mm)  Precp,降水時數  (hr)  PrecpHour,日照時數  (hr)  SunShine,全天空日射量  (MJ/㎡)  GloblRad,能見度  (km)  Visb
2,1,1016.3,,16.6,,90,1.6,323,,,0.0,,,,
3,2,1016.1,,16.3,,95,1.1,333,,,0.0,,,,
4,3,1016.1,,16.2,,97,1.8,13,,,0.0,,,,
5,4,1015.7,,16.0,,98,2.5,3,,,0.0,,,,
6,5,1015.8,,16.0,,98,2.4,7,,,0.0,,,,
7,6,1016.2,,16.1,,99,2.2,17,,,0.0,,,,
8,7,1015.8,,16.2,,99,3.3,14,,,0.0,,,,
9,8,1016.1,,16.5,,97,4.2,360,,,0.0,,,,
10,9,1016.6,,16.8,,93,6.6,356,,,0.0,,,,
11,10,1016.8,,17.1,,82,8.8,2,,,0.0,,,,
12,11,1016.3,,18.4,,77,9.6,5,,,0.0,,,,
13,12,1015.1,,19.3,,73,8.1,8,,,0.0,,,,
14,13,1014.0,,19.9,,73,7.9,8,,,0.0,,,,
15,14,1013.4,,19.9,,71,7.9,8,,,0.0,,,,
16,15,1012.8,,19.8,,74,7.7,2,,,0.0,,,,
17,16,1012.9,,18.6,,75,7.9,358,,,0.5,,,,
18,17,1013.5,,17.2,,76,9.2,2,,,0.0,,,,
19,18,1014.2,,16.5,,76,7.1,2,,,0.0,,,,
20,19,1014.9,,16.1,,79,6.5,2,,,0.0,,,,
21,20,1015.6,,16.0,,81,6.6,5,,,0.0,,,,
22,21,1016.3,,15.8,,82,6.1,8,,,0.0,,,,
23,22,1016.5,,15.7,,83,5.1,2,,,0.0,,,,
24,23,1016.7,,15.4,,84,5.8,4,,,0.0,,,,
25,24,1016.6,,15.3,,84,5.4,1,,,0.0,,,,
0,測站:C0K440_二崙,,觀測時間:2016-01-09,,,,,,,,,,,,
0,,Press,temperature,dew point,RH,WD/WS,Precp,SunShine,visibility,,,,,,
1,觀測時間  (LST)  ObsTime,測站氣壓  (hPa)  StnPres,海平面氣壓  (hPa)  SeaPres,氣溫  (℃)  Temperature,露點溫度  (℃)  Td dew point,相對溼度  (%)  RH,風速  (m/s)  WS,風向  (360degree)  WD,最大陣風  (m/s)  WSGust,最大陣風風向  (360degree)  WDGust,降水量  (mm)  Precp,降水時數  (hr)  PrecpHour,日照時數  (hr)  SunShine,全天空日射量  (MJ/㎡)  GloblRad,能見度  (km)  Visb
2,1,1016.8,,15.3,,83,6.5,5,,,0.0,,,,
3,2,1016.4,,15.1,,83,6.1,12,,,0.0,,,,
4,3,1016.1,,14.7,,85,4.2,10,,,0.0,,,,
5,4,1016.4,,14.7,,86,3.7,4,,,0.0,,,,
6,5,1016.3,,14.9,,84,5.1,8,,,0.0,,,,
7,6,1016.5,,14.6,,85,2.6,41,,,0.0,,,,
8,7,1017.1,,13.5,,92,2.5,350,,,0.0,,,,
9,8,1017.2,,14.8,,85,2.3,3,,,0.0,,,,
10,9,1017.8,,16.0,,81,4.1,345,,,0.0,,,,
11,10,1017.8,,17.3,,76,6.4,357,,,0.0,,,,
12,11,1017.0,,18.5,,72,5.5,13,,,0.0,,,,
13,12,1015.8,,20.1,,68,2.5,357,,,0.0,,,,
14,13,1014.5,,21.8,,62,1.3,15,,,0.0,,,,
15,14,1014.3,,20.2,,70,5.7,341,,,0.0,,,,
16,15,1014.3,,19.3,,75,6.6,354,,,0.0,,,,
17,16,1014.7,,18.6,,77,6.1,359,,,0.0,,,,
18,17,1015.4,,17.9,,82,4.7,351,,,0.0,,,,
19,18,1015.8,,17.1,,86,5.3,358,,,0.0,,,,
20,19,1016.2,,16.7,,89,3.7,359,,,0.0,,,,
21,20,1016.5,,16.5,,89,4.0,1,,,0.0,,,,
22,21,1016.6,,16.0,,91,3.0,360,,,0.0,,,,
23,22,1016.8,,15.5,,93,1.5,342,,,0.0,,,,
24,23,1016.4,,15.3,,94,0.5,21,,,0.0,,,,
25,24,1016.4,,14.8,,96,0.9,347,,,0.0,,,,
0,測站:C0K440_二崙,,觀測時間:2016-01-10,,,,,,,,,,,,
0,,Press,temperature,dew point,RH,WD/WS,Precp,SunShine,visibility,,,,,,
1,觀測時間  (LST)  ObsTime,測站氣壓  (hPa)  StnPres,海平面氣壓  (hPa)  SeaPres,氣溫  (℃)  Temperature,露點溫度  (℃)  Td dew point,相對溼度  (%)  RH,風速  (m/s)  WS,風向  (360degree)  WD,最大陣風  (m/s)  WSGust,最大陣風風向  (360degree)  WDGust,降水量  (mm)  Precp,降水時數  (hr)  PrecpHour,日照時數  (hr)  SunShine,全天空日射量  (MJ/㎡)  GloblRad,能見度  (km)  Visb
2,1,1016.3,,14.3,,97,1.5,354,,,0.0,,,,
3,2,1016.0,,14.1,,97,1.7,30,,,0.0,,,,
4,3,1015.3,,14.2,,97,0.4,80,,,0.0,,,,
5,4,1014.9,,13.7,,99,2.3,3,,,0.0,,,,
6,5,1015.1,,13.9,,99,0.9,354,,,0.0,,,,
7,6,1015.6,,13.9,,99,2.3,2,,,0.0,,,,
8,7,1015.3,,14.5,,96,2.3,25,,,0.0,,,,
9,8,1016.0,,15.9,,91,3.1,353,,,0.0,,,,
10,9,1016.6,,17.5,,91,5.6,360,,,0.0,,,,
11,10,1016.1,,18.6,,87,6.8,16,,,0.0,,,,
12,11,1014.8,,19.8,,80,5.1,9,,,0.0,,,,
13,12,1013.5,,21.6,,72,3.1,5,,,0.0,,,,
14,13,1012.3,,21.6,,78,3.5,345,,,0.0,,,,
15,14,1011.9,,20.9,,79,3.4,341,,,0.0,,,,
16,15,1012.0,,20.1,,85,4.4,344,,,0.0,,,,
17,16,1012.4,,19.3,,88,5.4,346,,,0.0,,,,
18,17,1012.4,,18.6,,92,6.3,1,,,0.0,,,,
19,18,1012.2,,18.4,,94,4.5,8,,,0.0,,,,
20,19,1013.4,,18.4,,96,4.8,2,,,0.0,,,,
21,20,1013.1,,18.3,,96,4.0,11,,,0.0,,,,
22,21,1013.4,,18.2,,97,4.0,349,,,0.0,,,,
23,22,1013.4,,18.2,,96,5.4,1,,,0.0,,,,
24,23,1013.7,,18.3,,95,4.8,10,,,0.0,,,,
25,24,1013.5,,18.3,,96,4.5,6,,,0.0,,,,
0,測站:C0K440_二崙,,觀測時間:2016-01-11,,,,,,,,,,,,
0,,Press,temperature,dew point,RH,WD/WS,Precp,SunShine,visibility,,,,,,
1,觀測時間  (LST)  ObsTime,測站氣壓  (hPa)  StnPres,海平面氣壓  (hPa)  SeaPres,氣溫  (℃)  Temperature,露點溫度  (℃)  Td dew point,相對溼度  (%)  RH,風速  (m/s)  WS,風向  (360degree)  WD,最大陣風  (m/s)  WSGust,最大陣風風向  (360degree)  WDGust,降水量  (mm)  Precp,降水時數  (hr)  PrecpHour,日照時數  (hr)  SunShine,全天空日射量  (MJ/㎡)  GloblRad,能見度  (km)  Visb
2,1,1013.1,,18.1,,97,4.4,3,,,0.0,,,,
3,2,1012.0,,18.2,,96,4.0,11,,,0.0,,,,
4,3,1010.6,,18.0,,97,2.6,23,,,0.0,,,,
5,4,1011.3,,17.7,,99,2.8,318,,,0.5,,,,
6,5,1010.4,,17.7,,99,3.5,2,,,0.0,,,,
7,6,1011.4,,17.9,,99,3.8,360,,,0.0,,,,
8,7,1012.0,,17.6,,99,5.4,19,,,0.0,,,,
9,8,1011.9,,17.4,,99,3.2,18,,,0.0,,,,
10,9,1012.1,,17.2,,98,3.6,7,,,0.5,,,,
11,10,1012.3,,16.8,,99,1.9,16,,,3.5,,,,
12,11,1012.4,,17.0,,99,1.5,26,,,2.5,,,,
13,12,1011.5,,17.6,,99,2.0,2,,,0.0,,,,
14,13,1011.4,,17.5,,99,3.9,336,,,0.0,,,,
15,14,1011.3,,17.1,,98,5.1,5,,,0.0,,,,
16,15,1010.8,,17.1,,94,7.5,4,,,0.0,,,,
17,16,1011.3,,16.8,,93,8.6,4,,,0.0,,,,
18,17,1012.6,,15.9,,97,6.7,5,,,0.0,,,,
19,18,1013.1,,15.3,,97,4.1,20,,,1.0,,,,
20,19,1013.0,,15.2,,99,1.9,61,,,2.5,,,,
21,20,1013.6,,15.2,,99,2.7,341,,,0.5,,,,
22,21,1013.9,,15.7,,98,2.3,350,,,0.0,,,,
23,22,1014.4,,15.7,,97,3.3,338,,,0.0,,,,
24,23,1014.2,,16.5,,91,4.5,3,,,0.0,,,,
25,24,1014.3,,16.6,,94,4.6,5,,,0.0,,,,
0,測站:C0K440_二崙,,觀測時間:2016-01-12,,,,,,,,,,,,
0,,Press,temperature,dew point,RH,WD/WS,Precp,SunShine,visibility,,,,,,
1,觀測時間  (LST)  ObsTime,測站氣壓  (hPa)  StnPres,海平面氣壓  (hPa)  SeaPres,氣溫  (℃)  Temperature,露點溫度  (℃)  Td dew point,相對溼度  (%)  RH,風速  (m/s)  WS,風向  (360degree)  WD,最大陣風  (m/s)  WSGust,最大陣風風向  (360degree)  WDGust,降水量  (mm)  Precp,降水時數  (hr)  PrecpHour,日照時數  (hr)  SunShine,全天空日射量  (MJ/㎡)  GloblRad,能見度  (km)  Visb
2,1,1014.0,,16.4,,94,6.0,12,,,0.0,,,,
3,2,1013.5,,16.3,,94,5.1,6,,,0.0,,,,
4,3,1013.6,,16.4,,91,6.1,6,,,0.0,,,,
5,4,1013.7,,16.3,,92,7.1,4,,,0.0,,,,
6,5,1013.8,,16.0,,92,7.4,8,,,0.0,,,,
7,6,1014.0,,16.0,,91,7.3,5,,,0.0,,,,
8,7,1014.2,,15.8,,90,7.7,3,,,0.0,,,,
9,8,1014.6,,16.0,,88,6.7,6,,,0.0,,,,
10,9,1014.8,,17.1,,85,5.9,12,,,0.0,,,,
11,10,1014.7,,17.9,,80,4.0,356,,,0.0,,,,
12,11,1014.5,,18.9,,78,4.9,350,,,0.0,,,,
13,12,1013.8,,19.5,,74,6.0,11,,,0.0,,,,
14,13,1012.8,,19.8,,75,5.2,1,,,0.0,,,,
15,14,1012.2,,20.1,,73,4.7,359,,,0.0,,,,
16,15,1012.1,,18.9,,77,6.3,353,,,0.0,,,,
17,16,1012.5,,18.0,,79,6.5,358,,,0.0,,,,
18,17,1012.8,,17.7,,78,6.6,2,,,0.0,,,,
19,18,1013.4,,17.1,,80,5.2,358,,,0.0,,,,
20,19,1014.2,,16.6,,82,5.4,1,,,0.0,,,,
21,20,1014.8,,16.4,,81,5.6,1,,,0.0,,,,
22,21,1015.5,,15.8,,84,4.7,359,,,0.0,,,,
23,22,1016.1,,15.4,,87,4.5,2,,,0.0,,,,
24,23,1015.6,,15.2,,87,5.4,10,,,0.0,,,,
25,24,1015.8,,15.1,,88,5.0,6,,,0.0,,,,
0,測站:C0K440_二崙,,觀測時間:2016-01-13,,,,,,,,,,,,
0,,Press,temperature,dew point,RH,WD/WS,Precp,SunShine,visibility,,,,,,
1,觀測時間  (LST)  ObsTime,測站氣壓  (hPa)  StnPres,海平面氣壓  (hPa)  SeaPres,氣溫  (℃)  Temperature,露點溫度  (℃)  Td dew point,相對溼度  (%)  RH,風速  (m/s)  WS,風向  (360degree)  WD,最大陣風  (m/s)  WSGust,最大陣風風向  (360degree)  WDGust,降水量  (mm)  Precp,降水時數  (hr)  PrecpHour,日照時數  (hr)  SunShine,全天空日射量  (MJ/㎡)  GloblRad,能見度  (km)  Visb
2,1,1015.8,,15.1,,87,5.5,13,,,0.0,,,,
3,2,1015.5,,15.0,,89,3.8,12,,,0.0,,,,
4,3,1015.3,,14.7,,91,4.6,5,,,0.0,,,,
5,4,1014.7,,14.5,,90,5.9,360,,,0.0,,,,
6,5,1014.6,,14.5,,90,4.9,6,,,0.0,,,,
7,6,1015.2,,14.3,,89,3.7,3,,,0.0,,,,
