觀測時間  (LST)  ObsTime,測站氣壓  (hPa)  StnPres,海平面氣壓  (hPa)  SeaPres,氣溫  (℃)  Temperature,露點溫度  (℃)  Td dew point,相對溼度  (%)  RH,風速  (m/s)  WS,風向  (360degree)  WD,最大陣風  (m/s)  WSGust,最大陣風風向  (360degree)  WDGust,全天空日射量  (MJ/㎡)  GloblRad,積溫,成長百分比
16-12-1 4時,1016.7,1019.5,23.4,19.7,80,1.1,220,4.9,340,0,32.31875,0.02431
16-12-1 5時,1015.9,1018.7,23.6,19.6,78,0.9,V,4.5,80,0,32.80208,0.02463
16-12-1 6時,1017,1019.8,24.1,20,78,1.2,170,10.3,40,0,33.30417,0.02495
16-12-1 7時,1017.2,1020,24.4,20.2,77,1.5,40,8.7,20,0,33.81667,0.02527
16-12-1 8時,1017.8,1020.6,25.6,20.1,72,3.5,60,12.4,50,0.65,34.35208,0.02559
16-12-1 9時,1018.1,1020.9,25.7,19.9,70,3.8,50,13.6,40,0.97,34.88542,0.02591
16-12-1 10時,1017.7,1020.5,27.1,20.3,66,4.6,60,12.6,60,1.94,35.45625,0.02623
16-12-1 11時,1017,1019.8,26.6,20.2,68,5.9,50,12.8,80,1.76,36.01458,0.02655
16-12-1 12時,1016.7,1019.5,26.3,20.7,71,4.6,50,13.4,60,1.33,36.57708,0.02687
16-12-1 13時,1015.6,1018.4,27,20.2,66,7.1,50,17.2,40,2,37.14375,0.02719
16-12-1 14時,1015,1017.8,26.1,19.6,67,9.1,50,17.6,60,1.72,37.67917,0.02751
16-12-1 15時,1014.5,1017.3,26.3,19.7,67,8.6,50,19.3,30,1.55,38.22083,0.02783
16-12-1 16時,1015,1017.8,25.7,19.5,69,8.9,50,20.7,50,0.96,38.74583,0.02815
16-12-1 17時,1015.7,1018.5,25,18.9,69,9,50,24.1,40,0.19,39.24375,0.02847
16-12-1 18時,1015.9,1018.7,24.7,18.5,68,10.5,50,20.6,50,0,39.72708,0.02879
16-12-1 19時,1016.6,1019.4,24.4,18.7,71,10.6,50,23.3,60,0,40.20833,0.02911
16-12-1 20時,1016.8,1019.6,24.2,18,68,10.4,50,23.6,40,0,40.67083,0.02943
16-12-1 21時,1016.5,1019.3,24.3,17.5,66,11.7,50,24.2,50,0,41.12500,0.02975
16-12-1 22時,1016.8,1019.6,24.1,17.3,66,8.9,50,23.3,40,0,41.57083,0.03007
16-12-1 23時,1016.9,1019.7,24.1,17.1,65,10.9,50,22.8,80,0,42.01250,0.03039
16-12-2 0時,1017,1019.8,24,17.3,66,10.7,50,23.1,60,0,42.45625,0.03071
16-12-2 1時,1016.8,1019.6,23.9,17.7,68,10.5,50,22.2,50,0,42.90625,0.03103
16-12-2 2時,1016.1,1018.9,23.8,17.7,69,9.2,50,25.3,50,0,43.35417,0.03135
16-12-2 3時,1016.1,1018.9,23.8,17.1,66,10.6,50,25.2,50,0,43.78958,0.03167
16-12-2 4時,1015.9,1018.7,23.6,17.2,67,9.3,40,23.2,70,0,44.22292,0.03199
16-12-2 5時,1016.5,1019.3,23.7,17.7,69,9,50,22.4,50,0,44.66875,0.03231
16-12-2 6時,1016.7,1019.5,23.6,17.4,68,9.3,40,21.4,70,0,45.10625,0.03263
16-12-2 7時,1017.6,1020.4,24.1,17.3,66,10.1,50,21.2,50,0,45.55208,0.03295
16-12-2 8時,1017.7,1020.5,24.4,17.3,65,10.8,50,22.8,50,0.21,46.00417,0.03327
16-12-2 9時,1018.1,1020.9,25,18,65,10.1,50,23.2,50,0.76,46.48333,0.03359
16-12-2 10時,1017.9,1020.7,25.3,17.7,63,9.4,40,20.3,50,1.48,46.96250,0.03391
16-12-2 11時,1017.4,1020.2,25.6,17.8,62,10.4,40,24.9,40,1.98,47.45000,0.03423
16-12-2 12時,1017,1019.8,25.7,18,62,8.6,40,24.3,50,1.95,47.94375,0.03455
16-12-2 13時,1016,1018.8,25.9,17.6,60,9.5,50,19.9,50,1.81,48.43333,0.03487
16-12-2 14時,1015.8,1018.6,26.5,18.5,61,6.8,40,17.9,40,1.87,48.95417,0.03519
16-12-2 15時,1015.9,1018.7,26,18.5,63,6.2,40,16.8,60,1.51,49.46458,0.03551
16-12-2 16時,1015.5,1018.3,25.2,18,64,10.1,40,18.7,30,0.82,49.94792,0.03583
16-12-2 17時,1015.9,1018.7,25.1,18.5,67,9.6,50,20.6,50,0.08,50.43958,0.03615
16-12-2 18時,1016.2,1019,25,18.9,69,7.5,50,22.6,40,0,50.93750,0.03647
16-12-2 19時,1016.5,1019.3,25.2,18.2,65,8.4,40,22.6,50,0,51.42500,0.03679
16-12-2 20時,1016.7,1019.5,25,17.7,64,10.1,40,24.5,50,0,51.89792,0.03711
16-12-2 21時,1016.8,1019.6,24.9,18.3,67,8.3,50,21.5,50,0,52.38125,0.03743
16-12-2 22時,1016,1018.8,24.6,18.6,69,8.1,40,19.8,60,0,52.86458,0.03775
16-12-2 23時,1015.4,1018.2,25,17.8,64,10.8,50,22.7,40,0,53.33958,0.03807
16-12-3 0時,1016.4,1019.2,24.8,17.9,66,7,30,21.5,50,0,53.81250,0.03839
16-12-3 1時,1016.5,1019.3,24.3,18.4,70,3,20,13.1,40,0,54.28542,0.03871
16-12-3 2時,1016.5,1019.3,23.9,18,70,2.7,350,7.6,30,0,54.74167,0.03903
16-12-3 3時,1016,1018.8,23.8,17.9,70,3.5,10,8.9,10,0,55.19375,0.03935
16-12-3 4時,1015.9,1018.7,24,18.9,73,2.8,10,7.6,350,0,55.67083,0.03967
16-12-3 5時,1016.2,1019,23.9,18.7,73,3.3,20,9.6,40,0,56.14167,0.03999
16-12-3 6時,1016.9,1019.7,23.7,18.4,72,3.4,10,8.3,20,0,56.60208,0.04031
16-12-3 7時,1017.3,1020.1,24.3,17.7,67,4,20,10.8,20,0,57.06042,0.04063
16-12-3 8時,1017.8,1020.6,25.4,18.8,67,3.7,20,10.7,10,0.41,57.56458,0.04095
16-12-3 9時,1018.2,1021,26.4,19.7,67,5,30,13.4,20,1.3,58.10833,0.04127
16-12-3 10時,1018.4,1021.2,27.2,19.5,63,4.8,30,11.2,10,1.82,58.66458,0.04159
16-12-3 11時,1017.7,1020.5,27.5,19.9,63,5.1,30,13.2,40,2.66,59.23542,0.04191
16-12-3 12時,1016.9,1019.7,27.6,20.1,64,5.7,30,13,20,2.64,59.81250,0.04223
16-12-3 13時,1016.1,1018.9,28,20.4,63,6.2,30,11,30,2.38,60.40417,0.04255
16-12-3 14時,1015.7,1018.5,28,20.8,65,5.5,30,10.9,50,2.24,61.00417,0.04287
16-12-3 15時,1015,1017.8,27.3,20.4,66,3.4,30,11.7,70,1.61,61.58125,0.04319
16-12-3 16時,1014.7,1017.5,27,20.1,66,3.2,50,12,20,0.83,62.14583,0.04351
16-12-3 17時,1014.8,1017.6,26.2,20.2,70,4.5,30,11.9,30,0.29,62.69583,0.04383
16-12-3 18時,1014.9,1017.7,26.1,20.1,70,5.2,30,13.6,30,0,63.24167,0.04415
16-12-3 19時,1015.6,1018.4,26,19.9,69,3.9,40,14.8,20,0,63.78125,0.04447
16-12-3 20時,1016.2,1019,25.8,20.3,72,3.4,360,11.3,360,0,64.32500,0.04479
16-12-3 21時,1015.7,1018.5,25.5,20,72,3.2,360,10.4,10,0,64.85625,0.04511
16-12-3 22時,1015.9,1018.7,25.5,19.7,70,4,20,8.1,30,0,65.38125,0.04543
16-12-3 23時,1015.8,1018.6,25.6,20.1,72,3,30,8.6,30,0,65.91667,0.04575
16-12-4 0時,1015.6,1018.4,25.3,20.5,75,2,40,6.5,60,0,66.45417,0.04607
16-12-4 1時,1015.1,1017.9,25.4,20,72,3,30,6.8,30,0,66.98333,0.04639
16-12-4 2時,1014.7,1017.5,25.1,19.8,72,1.1,10,5.8,10,0,67.50208,0.04670
16-12-4 3時,1014.2,1017,24.8,20,75,1.4,10,5.5,10,0,68.01875,0.04702
16-12-4 4時,1014,1016.8,24.7,20,75,1.9,40,6.2,20,0,68.53333,0.04734
16-12-4 5時,1013.9,1016.7,25.2,20.5,75,2.9,10,6.2,30,0,69.06875,0.04766
16-12-4 6時,1014.2,1017,25.3,19.8,72,2.7,10,6.3,20,0,69.59167,0.04798
16-12-4 7時,1015,1017.8,25.3,20.5,75,1.8,10,6,40,0,70.12917,0.04830
16-12-4 8時,1015.2,1018,25.7,21.6,78,0.9,360,5.9,20,0.37,70.69792,0.04862
16-12-4 9時,1015.4,1018.2,27.5,21.5,70,2.5,10,6.7,20,1.29,71.30208,0.04894
16-12-4 10時,1015,1017.8,28.5,22.2,69,1.8,10,7.5,80,1.7,71.94167,0.04926
16-12-4 11時,1014.3,1017.1,28.9,22.3,68,3.1,80,6.7,90,2.41,72.59167,0.04958
16-12-4 12時,1013.3,1016.1,29.2,22,65,2.3,30,6.1,80,2.1,73.24167,0.04990
16-12-4 13時,1012.8,1015.6,29.1,22.2,66,1.3,70,4.8,90,1.94,73.89375,0.05022
16-12-4 14時,1012.4,1015.2,27.3,21.9,72,1.3,320,5.5,340,1.07,74.50208,0.05054
16-12-4 15時,1012.5,1015.3,27.6,22.1,72,1.5,340,3.8,330,0.96,75.12083,0.05086
16-12-4 16時,1012,1014.8,27.6,21.8,71,0.6,20,4.8,360,0.87,75.73333,0.05118
16-12-4 17時,1012.5,1015.3,26.3,22.1,78,2.5,100,5.3,140,0.23,76.32500,0.05150
16-12-4 18時,1013.7,1016.5,26.2,21.4,75,2,50,4.2,70,0,76.90000,0.05182
16-12-4 19時,1014,1016.8,25.6,21.5,78,1.4,340,4.4,340,0,77.46458,0.05214
16-12-4 20時,1014.1,1016.9,24.5,21.4,83,0.2,0,3.6,350,0,78.00417,0.05246
16-12-4 21時,1014.5,1017.3,24.9,21.8,83,1.4,10,4.5,40,0,78.56042,0.05278
16-12-4 22時,1014.2,1017,25.5,22.1,82,2.9,10,6.1,30,0,79.13542,0.05310
16-12-4 23時,1014.5,1017.3,25.1,22.1,83,1.4,40,3.7,20,0,79.70208,0.05342
16-12-5 0時,1013.8,1016.6,25.5,22,81,2,80,4.7,60,0,80.27500,0.05374
16-12-5 1時,1013.7,1016.5,24.7,22.2,86,2.6,90,7.2,90,0,80.83542,0.05406
16-12-5 2時,1013,1015.8,25.4,21.9,81,1.3,70,4.6,110,0,81.40417,0.05438
16-12-5 3時,1012.4,1015.2,25.4,21.8,81,1.9,80,4.3,100,0,81.97083,0.05470
16-12-5 4時,1012.3,1015.1,25.4,21.5,79,2.7,20,7.5,20,0,82.53125,0.05502
16-12-5 5時,1012.7,1015.5,25.3,21.2,78,0.4,120,3.2,360,0,83.08333,0.05534
16-12-5 6時,1013,1015.8,25.3,21.1,78,0.8,280,3.3,340,0,83.63333,0.05566
16-12-5 7時,1013.5,1016.3,25.2,21.4,79,1.1,320,4.6,20,0,84.18750,0.05598
16-12-5 8時,1013.9,1016.7,26.4,21.6,75,2.3,50,9.6,20,0.47,84.77083,0.05630
16-12-5 9時,1013.9,1016.7,27.2,21.6,72,3.6,30,8.4,30,1.06,85.37083,0.05662
16-12-5 10時,1014.2,1017,28.1,21.8,69,2.6,40,10.1,60,1.56,85.99375,0.05694
16-12-5 11時,1013.5,1016.3,28.3,21.9,68,3.5,20,7.3,30,1.97,86.62292,0.05726
16-12-5 12時,1012.9,1015.7,29,22.3,67,2.9,40,7.6,20,2.11,87.27500,0.05758
16-12-5 13時,1012.3,1015.1,28.5,21.5,66,3.5,20,7.2,30,1.15,87.90000,0.05790
16-12-5 14時,1012.1,1014.9,28.5,22.4,70,1.2,330,6.8,40,1.31,88.54375,0.05822
16-12-5 15時,1012.1,1014.9,28.1,21.4,67,1.9,30,5.6,50,0.73,89.15833,0.05854
16-12-5 16時,1012.8,1015.6,27.6,21.7,70,2.7,40,5.8,50,0.61,89.76875,0.05886
16-12-5 17時,1013.6,1016.4,26.8,22,75,1.6,20,5.2,50,0.07,90.36875,0.05918
16-12-5 18時,1014.2,1017,26.5,21.7,75,1.9,20,5.2,30,0,90.95625,0.05950
16-12-5 19時,1014.9,1017.7,26.4,21.3,74,1.3,20,5,20,0,91.53333,0.05982
16-12-5 20時,1015.6,1018.4,26.2,21.5,75,2.1,60,7.1,70,0,92.11042,0.06014
16-12-5 21時,1016.1,1018.9,25.7,21.4,77,3.4,30,9.4,10,0,92.67500,0.06046
16-12-5 22時,1016.1,1018.9,25.6,20.8,75,5,50,12.1,40,0,93.22500,0.06078
16-12-5 23時,1016.1,1018.9,25.5,20.5,74,5.4,50,11.4,40,0,93.76667,0.06110
16-12-6 0時,1015.8,1018.6,25.5,20.6,74,5.1,40,12.6,60,0,94.31042,0.06142
16-12-6 1時,1015.5,1018.3,25.2,20.2,74,4.7,40,12,30,0,94.83958,0.06174
16-12-6 2時,1015.1,1017.9,25,20.2,75,5.3,50,14.3,70,0,95.36458,0.06206
16-12-6 3時,1014.9,1017.7,24.8,19.3,72,8,50,18.1,40,0,95.86667,0.06238
16-12-6 4時,1015,1017.8,24.6,19.1,71,6.3,50,16.6,60,0,96.36042,0.06270
16-12-6 5時,1015.1,1017.9,23.7,19,75,8.7,50,17.6,40,0,96.83333,0.06302
16-12-6 6時,1015.2,1018,22.8,19.6,82,9.1,50,19.6,40,0,97.30000,0.06334
16-12-6 7時,1015.4,1018.2,23.3,17.4,69,9.9,50,21.8,40,0,97.73125,0.06366
16-12-6 8時,1015.7,1018.5,23.7,17.2,67,11.3,40,25.9,50,0.25,98.16667,0.06398
16-12-6 9時,1015.9,1018.7,23.9,16.5,63,11.6,50,28,50,0.53,98.59167,0.06430
16-12-6 10時,1016,1018.8,23.9,16.3,62,10.7,50,30.5,40,0.71,99.01250,0.06462
16-12-6 11時,1016.1,1018.9,24.6,16.2,60,8.6,30,21.7,30,1.59,99.44583,0.06494
16-12-6 12時,1015.1,1017.9,24,15.3,58,9.3,40,22.1,50,0.91,99.84792,0.06526
16-12-6 13時,1014.3,1017.1,23.9,16.3,62,8.6,50,20.4,20,0.86,100.26875,0.06558
16-12-6 14時,1013.6,1016.4,23.8,16.3,63,8.3,40,24.4,50,0.64,100.68750,0.06590
16-12-6 15時,1013.4,1016.2,23.6,15.9,62,7.8,50,20.2,60,1.17,101.09375,0.06622
16-12-6 16時,1014.1,1016.9,23.4,15.2,60,10.1,40,22.4,50,0.49,101.48125,0.06654
16-12-6 17時,1014.4,1017.2,23.1,15.9,64,10.4,40,20.8,50,0.07,101.87708,0.06686
16-12-6 18時,1014.9,1017.7,22.9,15.2,62,9.8,50,24.7,30,0,102.25417,0.06718
16-12-6 19時,1015.5,1018.3,22.1,15,64,10.2,50,23.8,40,0,102.61042,0.06750
16-12-6 20時,1016,1018.8,22,16,69,10.4,50,25,40,0,102.98542,0.06782
16-12-6 21時,1016.1,1018.9,22.4,15.3,64,7.3,50,22.7,50,0,103.35417,0.06814
16-12-6 22時,1016.1,1018.9,22.6,15.4,64,8.6,50,24.5,50,0,103.72917,0.06846
16-12-6 23時,1016,1018.8,22.4,15.7,66,8.1,50,21.4,50,0,104.10625,0.06878
16-12-7 0時,1015.7,1018.5,22.8,15.6,64,8.5,50,20.4,40,0,104.48958,0.06910
16-12-7 1時,1015.6,1018.4,23,15.6,63,6.9,40,17.2,40,0,104.87708,0.06942
16-12-7 2時,1015.1,1017.9,23.1,16.2,65,7,40,17.5,70,0,105.27917,0.06974
16-12-7 3時,1014.8,1017.6,23.1,15.8,63,5.5,50,15.7,50,0,105.67292,0.07006
16-12-7 4時,1014.3,1017.1,23.1,16.2,65,6.8,40,14.2,60,0,106.07500,0.07038
16-12-7 5時,1013.9,1016.7,22.8,16.2,66,5.2,30,16.9,50,0,106.47083,0.07070
16-12-7 6時,1014.3,1017.1,23.3,16.4,65,7.6,50,17.2,50,0,106.88125,0.07102
16-12-7 7時,1014.8,1017.6,23.3,16.8,67,7.3,50,16.6,50,0,107.30000,0.07134
16-12-7 8時,1015,1017.8,23.7,16.2,63,6.3,40,17.5,50,0.07,107.71458,0.07166
16-12-7 9時,1015.7,1018.5,24.9,17.6,64,5.5,50,14.8,40,1.15,108.18333,0.07198
16-12-7 10時,1015.4,1018.2,25.5,17.8,62,5.4,50,13.5,60,1.51,108.66875,0.07230
16-12-7 11時,1015,1017.8,26.3,18.5,62,5.3,50,16.9,70,2.35,109.18542,0.07262
16-12-7 12時,1013.6,1016.4,26.4,18.5,62,5.3,60,14.6,70,1.77,109.70417,0.07294
16-12-7 13時,1012.5,1015.3,26.4,19.2,65,5.2,50,14.4,50,2.2,110.23750,0.07326
16-12-7 14時,1012.1,1014.9,25.7,18.7,65,5.9,50,16.2,30,1.8,110.74583,0.07358
16-12-7 15時,1012.3,1015.1,25.4,18.9,67,5.8,60,15.9,70,1.46,111.25208,0.07390
16-12-7 16時,1012.5,1015.3,24.7,18.5,68,4.9,60,12.9,50,0.9,111.73542,0.07422
16-12-7 17時,1012.3,1015.1,24.3,18.1,68,5.2,50,13.9,80,0.02,112.20208,0.07454
16-12-7 18時,1012.6,1015.4,24.1,17.9,68,6,50,13.1,50,0,112.66042,0.07486
16-12-7 19時,1013.3,1016.1,24.3,17.8,67,5.3,60,16.9,50,0,113.12083,0.07518
16-12-7 20時,1014,1016.8,24.2,18.4,70,6.2,40,15,40,0,113.59167,0.07550
16-12-7 21時,1014.2,1017,23.8,18.5,72,2.3,10,11.7,50,0,114.05625,0.07582
16-12-7 22時,1014,1016.8,23.8,18.5,72,2.8,10,8.6,70,0,114.52083,0.07614
16-12-7 23時,1013.5,1016.3,24,18.3,70,6,40,13.1,30,0,114.98542,0.07646
16-12-8 0時,1012.7,1015.5,23.9,18.1,70,7.4,50,15.4,50,0,115.44375,0.07678
16-12-8 1時,1012.3,1015.1,23.8,18.3,71,5.8,50,15.8,50,0,115.90417,0.07710
16-12-8 2時,1011.5,1014.3,23.8,18.2,71,7.5,40,17.5,50,0,116.36250,0.07742
16-12-8 3時,1011.9,1014.7,23.5,17.9,71,3.6,30,16.5,30,0,116.80833,0.07774
16-12-8 4時,1011.7,1014.5,23.4,18.4,74,1.4,20,10.2,10,0,117.26250,0.07805
16-12-8 5時,1012.2,1015,23.1,18.5,75,3.5,10,9.5,60,0,117.71250,0.07837
16-12-8 6時,1012.9,1015.7,22.9,17.7,73,3.3,10,8.5,20,0,118.14167,0.07869
16-12-8 7時,1012.8,1015.6,23,18.4,75,3.7,10,10.4,40,0,118.58750,0.07901
16-12-8 8時,1012.7,1015.5,24.1,18.3,70,3.9,40,12,10,0.4,119.05417,0.07933
16-12-8 9時,1012.7,1015.5,25.1,18.5,67,4.3,50,11.4,40,1.13,119.54583,0.07965
16-12-8 10時,1012,1014.8,26,18.2,62,4.5,50,12.4,70,1.75,120.05000,0.07997
16-12-8 11時,1011.7,1014.5,26.1,18.6,63,5.8,50,14.6,60,2.21,120.56458,0.08029
16-12-8 12時,1011.2,1014,26.1,19.1,65,4.2,30,13.3,20,2.02,121.08958,0.08061
16-12-8 13時,1010.1,1012.9,26.2,18.7,63,4.9,20,11.4,30,2.17,121.60833,0.08093
16-12-8 14時,1009.2,1012,25.8,18.8,65,2.6,30,9.8,10,0.92,122.12083,0.08125
16-12-8 15時,1009.3,1012.1,25.2,19,69,1.9,30,10.4,10,0.69,122.62500,0.08157
16-12-8 16時,1009.9,1012.7,25.1,19,69,2.6,40,6.4,20,0.6,123.12708,0.08189
16-12-8 17時,1010.2,1013,24.6,18.8,70,2.3,60,6.6,100,0.04,123.61458,0.08221
16-12-8 18時,1010.8,1013.6,24,19,74,2.4,20,6.9,20,0,124.09375,0.08253
16-12-8 19時,1010.9,1013.7,24,18.9,73,2.2,20,7,20,0,124.57083,0.08285
